Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Mail Request,,,2019-04-05 12:49:16,2019-04-05 12:49:46,29.679s,FAILED
,,,,,,
Test Cases/API Test/Create Mail Request/Fail With Auth,,,2019-04-05 12:49:19,2019-04-05 12:49:40,20.696s,PASSED
"response = sendRequest(findTestObject(""Object Repository/Mail/Create Mail Request""))",,,2019-04-05 12:49:23,2019-04-05 12:49:39,15.819s,PASSED
"verifyNotEqual(statusCode, 200)",,,2019-04-05 12:49:39,2019-04-05 12:49:40,0.615s,PASSED
,,,,,,
Test Cases/API Test/Create Mail Request/Fail Without Auth,,,2019-04-05 12:49:40,2019-04-05 12:49:43,2.812s,PASSED
"request = findTestObject(""Object Repository/Mail/Create Mail Request"")",,,2019-04-05 12:49:42,2019-04-05 12:49:42,0.011s,PASSED
response = sendRequest(request),,,2019-04-05 12:49:42,2019-04-05 12:49:43,0.972s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:49:43,2019-04-05 12:49:43,0.017s,PASSED
,,,,,,
Test Cases/API Test/Create Mail Request/Succeed with Auth,,,2019-04-05 12:49:43,2019-04-05 12:49:45,2.636s,FAILED
"signInRequest = findTestObject(""Auth/Sign In"")",,,2019-04-05 12:49:44,2019-04-05 12:49:44,0.013s,PASSED
signInResponse = sendRequest(signInRequest),,,2019-04-05 12:49:44,2019-04-05 12:49:45,1.008s,PASSED
"request = findTestObject(""Object Repository/Mail/Create Mail Request"")",,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.033s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.008s,PASSED
signInResponseBody = jsonSlurper.parseText(signInResponse.getResponseBodyContent()),,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.080s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + signInResponseBody.data.token))",,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.024s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.046s,PASSED
response = sendRequest(request),,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.559s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:49:45,2019-04-05 12:49:45,0.025s,FAILED
