Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get All Features,,,2019-04-05 12:53:10,2019-04-05 12:53:17,7.066s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Fail Without Auth,,,2019-04-05 12:53:11,2019-04-05 12:53:15,4.781s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:53:11,2019-04-05 12:53:11,0.040s,PASSED
response = sendRequest(request),,,2019-04-05 12:53:11,2019-04-05 12:53:15,4.043s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:53:15,2019-04-05 12:53:15,0.043s,FAILED
,,,,,,
Test Cases/API Test/Get All Features/Succeed With Auth,,,2019-04-05 12:53:15,2019-04-05 12:53:17,1.698s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get All Features"")",,,2019-04-05 12:53:16,2019-04-05 12:53:16,0.008s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:53:16,2019-04-05 12:53:16,0.222s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:53:16,2019-04-05 12:53:16,0.017s,PASSED
response = sendRequest(request),,,2019-04-05 12:53:16,2019-04-05 12:53:17,0.886s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:53:17,2019-04-05 12:53:17,0.004s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-05 12:53:17,2019-04-05 12:53:17,0.064s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:53:17,2019-04-05 12:53:17,0.026s,PASSED
