Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Country States,,,2019-04-04 18:24:17,2019-04-04 18:24:23,6.624s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Fail Without Auth,,,2019-04-04 18:24:17,2019-04-04 18:24:22,4.581s,FAILED
"response = sendRequest(findTestObject(""Object Repository/Org Admin/Get Country States""))",,,2019-04-04 18:24:18,2019-04-04 18:24:22,3.873s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-04 18:24:22,2019-04-04 18:24:22,0.045s,FAILED
,,,,,,
Test Cases/API Test/Get Country States/Succeed With Auth,,,2019-04-04 18:24:22,2019-04-04 18:24:23,1.375s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Country States"")",,,2019-04-04 18:24:22,2019-04-04 18:24:22,0.005s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-04 18:24:22,2019-04-04 18:24:22,0.110s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-04 18:24:22,2019-04-04 18:24:22,0.010s,PASSED
response = sendRequest(request),,,2019-04-04 18:24:22,2019-04-04 18:24:23,0.780s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-04 18:24:23,2019-04-04 18:24:23,0.005s,PASSED
"verifyElementPropertyValue(response, ""message"", ""success"")",,,2019-04-04 18:24:23,2019-04-04 18:24:23,0.100s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-04 18:24:23,2019-04-04 18:24:23,0.023s,PASSED
