Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Organization Details,,,2019-04-05 12:49:31,2019-04-05 12:49:49,18.414s,FAILED
,,,,,,
Test Cases/API Test/Get Organization Details/Fail Without Auth,,,2019-04-05 12:49:32,2019-04-05 12:49:48,15.302s,PASSED
"request = findTestObject(""Org Admin/Get Organization Detail By ID"")",,,2019-04-05 12:49:35,2019-04-05 12:49:35,0.074s,PASSED
response = sendRequest(request),,,2019-04-05 12:49:35,2019-04-05 12:49:47,12.278s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:49:47,2019-04-05 12:49:48,0.049s,PASSED
,,,,,,
Test Cases/API Test/Get Organization Details/Succeed with Auth,,,2019-04-05 12:49:48,2019-04-05 12:49:49,1.812s,FAILED
"request = findTestObject(""Org Admin/Get Organization Detail By ID"")",,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.009s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.255s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:49:48,2019-04-05 12:49:48,0.022s,PASSED
response = sendRequest(request),,,2019-04-05 12:49:48,2019-04-05 12:49:49,0.862s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:49:49,2019-04-05 12:49:49,0.040s,FAILED
