Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Organization List,,,2019-04-05 12:52:25,2019-04-05 12:52:32,7.345s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Succeed With Auth,,,2019-04-05 12:52:25,2019-04-05 12:52:31,5.882s,PASSED
"signInRequest = findTestObject(""Object Repository/Auth/Sign In"")",,,2019-04-05 12:52:26,2019-04-05 12:52:26,0.082s,PASSED
signInResponse = sendRequest(signInRequest),,,2019-04-05 12:52:26,2019-04-05 12:52:30,3.818s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.012s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.012s,PASSED
signInResponseBody = jsonSlurper.parseText(signInResponse.getResponseBodyContent()),,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.047s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + signInResponseBody.data.token))",,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.036s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.020s,PASSED
"Authorization = ""Bearer "" + token",,,2019-04-05 12:52:30,2019-04-05 12:52:30,0.251s,PASSED
response = sendRequest(request),,,2019-04-05 12:52:30,2019-04-05 12:52:31,0.980s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 12:52:31,2019-04-05 12:52:31,0.016s,PASSED
"verifyElementPropertyValue(response, ""isSuccess"", true)",,,2019-04-05 12:52:31,2019-04-05 12:52:31,0.048s,PASSED
,,,,,,
Test Cases/API Test/Get Organization List/Fail Without Auth,,,2019-04-05 12:52:31,2019-04-05 12:52:32,0.947s,PASSED
"request = findTestObject(""Object Repository/Org Admin/Get Organization List"")",,,2019-04-05 12:52:32,2019-04-05 12:52:32,0.010s,PASSED
response = sendRequest(request),,,2019-04-05 12:52:32,2019-04-05 12:52:32,0.597s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 12:52:32,2019-04-05 12:52:32,0.004s,PASSED
