Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get User List,,,2019-04-05 16:37:59,2019-04-05 16:38:20,21.139s,FAILED
,,,,,,
Test Cases/API Test/Get User List/Fail Without Auth,,,2019-04-05 16:38:00,2019-04-05 16:38:13,12.665s,PASSED
"request = findTestObject(""Object Repository/User Admin/Get User List By Organization"")",,,2019-04-05 16:38:02,2019-04-05 16:38:02,0.114s,PASSED
response = sendRequest(request),,,2019-04-05 16:38:02,2019-04-05 16:38:13,11.096s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 16:38:13,2019-04-05 16:38:13,0.017s,PASSED
,,,,,,
Test Cases/API Test/Get User List/Succeed With Auth,,,2019-04-05 16:38:13,2019-04-05 16:38:20,6.668s,FAILED
"request = findTestObject(""Object Repository/Org Admin/Add Organization"")",,,2019-04-05 16:38:14,2019-04-05 16:38:14,0.033s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 16:38:14,2019-04-05 16:38:15,0.369s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 16:38:15,2019-04-05 16:38:15,0.029s,PASSED
response = sendRequest(request),,,2019-04-05 16:38:15,2019-04-05 16:38:15,0.759s,PASSED
println(Authorization),,,2019-04-05 16:38:15,2019-04-05 16:38:15,0.005s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 16:38:15,2019-04-05 16:38:20,4.211s,FAILED
