Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mailing Instructions,,,2019-04-05 14:10:39,2019-04-05 14:10:46,6.926s,FAILED
,,,,,,
Test Cases/API Test/Mailing Instructions/Fail Without Auth,,,2019-04-05 14:10:40,2019-04-05 14:10:44,4.905s,PASSED
"request = findTestObject(""Object Repository/Mail/Mailing Instruction"")",,,2019-04-05 14:10:40,2019-04-05 14:10:40,0.106s,PASSED
response = sendRequest(request),,,2019-04-05 14:10:40,2019-04-05 14:10:44,3.942s,PASSED
"verifyResponseStatusCode(response, 401)",,,2019-04-05 14:10:44,2019-04-05 14:10:44,0.019s,PASSED
,,,,,,
Test Cases/API Test/Mailing Instructions/Succeed With Auth,,,2019-04-05 14:10:44,2019-04-05 14:10:46,1.386s,FAILED
"request = findTestObject(""Object Repository/Mail/Mailing Instruction"")",,,2019-04-05 14:10:45,2019-04-05 14:10:45,0.010s,PASSED
"authHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.Authorization))",,,2019-04-05 14:10:45,2019-04-05 14:10:45,0.244s,PASSED
httpHeaderProperties.add(authHeader),,,2019-04-05 14:10:45,2019-04-05 14:10:45,0.011s,PASSED
response = sendRequest(request),,,2019-04-05 14:10:45,2019-04-05 14:10:46,0.605s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-04-05 14:10:46,2019-04-05 14:10:46,0.022s,FAILED
